"","AAV2020","CODGEO","LIBAAV2020","CATEAAV2020","DEP","REG","TAAV2017","TDAAV2017","NB_COM"
"5627","000","28108","Commune hors attraction des villes","30","28","24","0","00",8932
"5628","000","17084","Commune hors attraction des villes","30","17","75","0","00",8932
"5629","000","72251","Commune hors attraction des villes","30","72","52","0","00",8932
"5630","000","41122","Commune hors attraction des villes","30","41","24","0","00",8932
"5631","000","41123","Commune hors attraction des villes","30","41","24","0","00",8932
"5632","000","25584","Commune hors attraction des villes","30","25","27","0","00",8932
"5633","000","32355","Commune hors attraction des villes","30","32","76","0","00",8932
"5634","000","21152","Commune hors attraction des villes","30","21","27","0","00",8932
"5635","000","17093","Commune hors attraction des villes","30","17","75","0","00",8932
"5636","000","28119","Commune hors attraction des villes","30","28","24","0","00",8932
"5637","000","17095","Commune hors attraction des villes","30","17","75","0","00",8932
"5638","000","17096","Commune hors attraction des villes","30","17","75","0","00",8932
"5639","000","64464","Commune hors attraction des villes","30","64","75","0","00",8932
"5640","000","57189","Commune hors attraction des villes","30","57","44","0","00",8932
"5641","000","25596","Commune hors attraction des villes","30","25","27","0","00",8932
"5642","000","25597","Commune hors attraction des villes","30","25","27","0","00",8932
"5643","000","52002","Commune hors attraction des villes","30","52","44","0","00",8932
"5644","000","79077","Commune hors attraction des villes","30","79","75","0","00",8932
"5645","000","25600","Commune hors attraction des villes","30","25","27","0","00",8932
"5646","000","17105","Commune hors attraction des villes","30","17","75","0","00",8932
"5647","000","25602","Commune hors attraction des villes","30","25","27","0","00",8932
"5648","000","41141","Commune hors attraction des villes","30","41","24","0","00",8932
"5649","000","52009","Commune hors attraction des villes","30","52","44","0","00",8932
"5650","000","41143","Commune hors attraction des villes","30","41","24","0","00",8932
"5651","000","32373","Commune hors attraction des villes","30","32","76","0","00",8932
"5652","000","25609","Commune hors attraction des villes","30","25","27","0","00",8932
"5653","000","72276","Commune hors attraction des villes","30","72","52","0","00",8932
"5654","000","17113","Commune hors attraction des villes","30","17","75","0","00",8932
"5655","000","86161","Commune hors attraction des villes","30","86","75","0","00",8932
"5656","000","64480","Commune hors attraction des villes","30","64","75","0","00",8932
"5657","000","70287","Commune hors attraction des villes","30","70","27","0","00",8932
"5658","000","17117","Commune hors attraction des villes","30","17","75","0","00",8932
"5659","000","17118","Commune hors attraction des villes","30","17","75","0","00",8932
"5660","000","52023","Commune hors attraction des villes","30","52","44","0","00",8932
"5661","000","81136","Commune hors attraction des villes","30","81","76","0","00",8932
"5662","000","21181","Commune hors attraction des villes","30","21","27","0","00",8932
"5663","000","52027","Commune hors attraction des villes","30","52","44","0","00",8932
"5664","000","64489","Commune hors attraction des villes","30","64","75","0","00",8932
"5665","000","81141","Commune hors attraction des villes","30","81","76","0","00",8932
"5666","000","17126","Commune hors attraction des villes","30","17","75","0","00",8932
"5667","000","52033","Commune hors attraction des villes","30","52","44","0","00",8932
"5668","000","41161","Commune hors attraction des villes","30","41","24","0","00",8932
"5669","000","28159","Commune hors attraction des villes","30","28","24","0","00",8932
"5670","000","17130","Commune hors attraction des villes","30","17","75","0","00",8932
"5671","000","89331","Commune hors attraction des villes","30","89","27","0","00",8932
"5672","000","59277","Commune hors attraction des villes","30","59","32","0","00",8932
"5673","000","42261","Commune hors attraction des villes","30","42","84","0","00",8932
"5674","000","46244","Commune hors attraction des villes","30","46","76","0","00",8932
"5675","000","74014","Commune hors attraction des villes","30","74","84","0","00",8932
"5676","000","59282","Commune hors attraction des villes","30","59","32","0","00",8932
"5677","000","32399","Commune hors attraction des villes","30","32","76","0","00",8932
"5678","000","17138","Commune hors attraction des villes","30","17","75","0","00",8932
"5679","000","17139","Commune hors attraction des villes","30","17","75","0","00",8932
"5680","000","17140","Commune hors attraction des villes","30","17","75","0","00",8932
"5681","000","41177","Commune hors attraction des villes","30","41","24","0","00",8932
"5682","000","41179","Commune hors attraction des villes","30","41","24","0","00",8932
"5683","000","35167","Commune hors attraction des villes","30","35","53","0","00",8932
"5684","000","52057","Commune hors attraction des villes","30","52","44","0","00",8932
"5685","000","45218","Commune hors attraction des villes","30","45","24","0","00",8932
"5686","000","64512","Commune hors attraction des villes","30","64","75","0","00",8932
"5687","000","64513","Commune hors attraction des villes","30","64","75","0","00",8932
"5688","000","17149","Commune hors attraction des villes","30","17","75","0","00",8932
"5689","000","26012","Commune hors attraction des villes","30","26","84","0","00",8932
"5690","000","26013","Commune hors attraction des villes","30","26","84","0","00",8932
"5691","000","17152","Commune hors attraction des villes","30","17","75","0","00",8932
"5692","000","26015","Commune hors attraction des villes","30","26","84","0","00",8932
"5693","000","52066","Commune hors attraction des villes","30","52","44","0","00",8932
"5694","000","26017","Commune hors attraction des villes","30","26","84","0","00",8932
"5695","000","17156","Commune hors attraction des villes","30","17","75","0","00",8932
"5696","000","72325","Commune hors attraction des villes","30","72","52","0","00",8932
"5697","000","81175","Commune hors attraction des villes","30","81","76","0","00",8932
"5698","000","67394","Commune hors attraction des villes","30","67","44","0","00",8932
"5699","000","17160","Commune hors attraction des villes","30","17","75","0","00",8932
"5700","000","81178","Commune hors attraction des villes","30","81","76","0","00",8932
"5701","000","17162","Commune hors attraction des villes","30","17","75","0","00",8932
"5702","000","21224","Commune hors attraction des villes","30","21","27","0","00",8932
"5703","000","26026","Commune hors attraction des villes","30","26","84","0","00",8932
"5704","000","72333","Commune hors attraction des villes","30","72","52","0","00",8932
"5705","000","41205","Commune hors attraction des villes","30","41","24","0","00",8932
"5706","000","17167","Commune hors attraction des villes","30","17","75","0","00",8932
"5707","000","64533","Commune hors attraction des villes","30","64","75","0","00",8932
"5708","000","45242","Commune hors attraction des villes","30","45","24","0","00",8932
"5709","000","86223","Commune hors attraction des villes","30","86","75","0","00",8932
"5710","000","76529","Commune hors attraction des villes","30","76","28","0","00",8932
"5711","000","79154","Commune hors attraction des villes","30","79","75","0","00",8932
"5712","000","24022","Commune hors attraction des villes","30","24","75","0","00",8932
"5713","000","17176","Commune hors attraction des villes","30","17","75","0","00",8932
"5714","000","52095","Commune hors attraction des villes","30","52","44","0","00",8932
"5715","000","52097","Commune hors attraction des villes","30","52","44","0","00",8932
"5716","000","45251","Commune hors attraction des villes","30","45","24","0","00",8932
"5717","000","17180","Commune hors attraction des villes","30","17","75","0","00",8932
"5718","000","64543","Commune hors attraction des villes","30","64","75","0","00",8932
"5719","000","86237","Commune hors attraction des villes","30","86","75","0","00",8932
"5720","000","81199","Commune hors attraction des villes","30","81","76","0","00",8932
"5721","000","26046","Commune hors attraction des villes","30","26","84","0","00",8932
"5722","000","26047","Commune hors attraction des villes","30","26","84","0","00",8932
"5723","000","26048","Commune hors attraction des villes","30","26","84","0","00",8932
"5724","000","70359","Commune hors attraction des villes","30","70","27","0","00",8932
"5725","000","70360","Commune hors attraction des villes","30","70","27","0","00",8932
"5726","000","26051","Commune hors attraction des villes","30","26","84","0","00",8932
"5727","000","41229","Commune hors attraction des villes","30","41","24","0","00",8932
"5728","000","54524","Commune hors attraction des villes","30","54","44","0","00",8932
"5729","000","26054","Commune hors attraction des villes","30","26","84","0","00",8932
"5730","000","26056","Commune hors attraction des villes","30","26","84","0","00",8932
"5731","000","21253","Commune hors attraction des villes","30","21","27","0","00",8932
"5732","000","61122","Commune hors attraction des villes","30","61","28","0","00",8932
"5733","000","41235","Commune hors attraction des villes","30","41","24","0","00",8932
"5734","000","26060","Commune hors attraction des villes","30","26","84","0","00",8932
"5735","000","70372","Commune hors attraction des villes","30","70","27","0","00",8932
"5736","000","26062","Commune hors attraction des villes","30","26","84","0","00",8932
"5737","000","26063","Commune hors attraction des villes","30","26","84","0","00",8932
"5738","000","72369","Commune hors attraction des villes","30","72","52","0","00",8932
"5739","000","41242","Commune hors attraction des villes","30","41","24","0","00",8932
"5740","000","30303","Commune hors attraction des villes","30","30","76","0","00",8932
"5741","000","41245","Commune hors attraction des villes","30","41","24","0","00",8932
"5742","000","52129","Commune hors attraction des villes","30","52","44","0","00",8932
"5743","000","67446","Commune hors attraction des villes","30","67","44","0","00",8932
"5744","000","41248","Commune hors attraction des villes","30","41","24","0","00",8932
"5745","000","45281","Commune hors attraction des villes","30","45","24","0","00",8932
"5746","000","24061","Commune hors attraction des villes","30","24","75","0","00",8932
"5747","000","17211","Commune hors attraction des villes","30","17","75","0","00",8932
"5748","000","17212","Commune hors attraction des villes","30","17","75","0","00",8932
"5749","000","21271","Commune hors attraction des villes","30","21","27","0","00",8932
"5750","000","65018","Commune hors attraction des villes","30","65","76","0","00",8932
"5751","000","52138","Commune hors attraction des villes","30","52","44","0","00",8932
"5752","000","72383","Commune hors attraction des villes","30","72","52","0","00",8932
"5753","000","17217","Commune hors attraction des villes","30","17","75","0","00",8932
"5754","000","24070","Commune hors attraction des villes","30","24","75","0","00",8932
"5755","000","57308","Commune hors attraction des villes","30","57","44","0","00",8932
"5756","000","24073","Commune hors attraction des villes","30","24","75","0","00",8932
"5757","000","61160","Commune hors attraction des villes","30","61","28","0","00",8932
"5758","000","65026","Commune hors attraction des villes","30","65","76","0","00",8932
"5759","000","73007","Commune hors attraction des villes","30","73","84","0","00",8932
"5760","000","54556","Commune hors attraction des villes","30","54","44","0","00",8932
"5761","000","41267","Commune hors attraction des villes","30","41","24","0","00",8932
"5762","000","52157","Commune hors attraction des villes","30","52","44","0","00",8932
"5763","000","41271","Commune hors attraction des villes","30","41","24","0","00",8932
"5764","000","26090","Commune hors attraction des villes","30","26","84","0","00",8932
"5765","000","65407","Commune hors attraction des villes","30","65","76","0","00",8932
"5766","000","26092","Commune hors attraction des villes","30","26","84","0","00",8932
"5767","000","17231","Commune hors attraction des villes","30","17","75","0","00",8932
"5768","000","26094","Commune hors attraction des villes","30","26","84","0","00",8932
"5769","000","41278","Commune hors attraction des villes","30","41","24","0","00",8932
"5770","000","17234","Commune hors attraction des villes","30","17","75","0","00",8932
"5771","000","65413","Commune hors attraction des villes","30","65","76","0","00",8932
"5772","000","41279","Commune hors attraction des villes","30","41","24","0","00",8932
"5773","000","52168","Commune hors attraction des villes","30","52","44","0","00",8932
"5774","000","73024","Commune hors attraction des villes","30","73","84","0","00",8932
"5775","000","26101","Commune hors attraction des villes","30","26","84","0","00",8932
"5776","000","17241","Commune hors attraction des villes","30","17","75","0","00",8932
"5777","000","61190","Commune hors attraction des villes","30","61","28","0","00",8932
"5778","000","17243","Commune hors attraction des villes","30","17","75","0","00",8932
"5779","000","52174","Commune hors attraction des villes","30","52","44","0","00",8932
"5780","000","65050","Commune hors attraction des villes","30","65","76","0","00",8932
"5781","000","52178","Commune hors attraction des villes","30","52","44","0","00",8932
"5782","000","24105","Commune hors attraction des villes","30","24","75","0","00",8932
"5783","000","17248","Commune hors attraction des villes","30","17","75","0","00",8932
"5784","000","57338","Commune hors attraction des villes","30","57","44","0","00",8932
"5785","000","81266","Commune hors attraction des villes","30","81","76","0","00",8932
"5786","000","52183","Commune hors attraction des villes","30","52","44","0","00",8932
"5787","000","26114","Commune hors attraction des villes","30","26","84","0","00",8932
"5788","000","52187","Commune hors attraction des villes","30","52","44","0","00",8932
"5789","000","52189","Commune hors attraction des villes","30","52","44","0","00",8932
"5790","000","21312","Commune hors attraction des villes","30","21","27","0","00",8932
"5791","000","24538","Commune hors attraction des villes","30","24","75","0","00",8932
"5792","000","65435","Commune hors attraction des villes","30","65","76","0","00",8932
"5793","000","33426","Commune hors attraction des villes","30","33","75","0","00",8932
"5794","000","24119","Commune hors attraction des villes","30","24","75","0","00",8932
"5795","000","17261","Commune hors attraction des villes","30","17","75","0","00",8932
"5796","000","42009","Commune hors attraction des villes","30","42","84","0","00",8932
"5797","000","65066","Commune hors attraction des villes","30","65","76","0","00",8932
"5798","000","42011","Commune hors attraction des villes","30","42","84","0","00",8932
"5799","000","17265","Commune hors attraction des villes","30","17","75","0","00",8932
"5800","000","26127","Commune hors attraction des villes","30","26","84","0","00",8932
"5801","000","42014","Commune hors attraction des villes","30","42","84","0","00",8932
"5802","000","42015","Commune hors attraction des villes","30","42","84","0","00",8932
"5803","000","17269","Commune hors attraction des villes","30","17","75","0","00",8932
"5804","000","26133","Commune hors attraction des villes","30","26","84","0","00",8932
"5805","000","42018","Commune hors attraction des villes","30","42","84","0","00",8932
"5806","000","26135","Commune hors attraction des villes","30","26","84","0","00",8932
"5807","000","42019","Commune hors attraction des villes","30","42","84","0","00",8932
"5808","000","52208","Commune hors attraction des villes","30","52","44","0","00",8932
"5809","000","17276","Commune hors attraction des villes","30","17","75","0","00",8932
"5810","000","50197","Commune hors attraction des villes","30","50","28","0","00",8932
"5811","000","43064","Commune hors attraction des villes","30","43","84","0","00",8932
"5812","000","46004","Commune hors attraction des villes","30","46","76","0","00",8932
"5813","000","26142","Commune hors attraction des villes","30","26","84","0","00",8932
"5814","000","26143","Commune hors attraction des villes","30","26","84","0","00",8932
"5815","000","17282","Commune hors attraction des villes","30","17","75","0","00",8932
"5816","000","42030","Commune hors attraction des villes","30","42","84","0","00",8932
"5817","000","65087","Commune hors attraction des villes","30","65","76","0","00",8932
"5818","000","65088","Commune hors attraction des villes","30","65","76","0","00",8932
"5819","000","26148","Commune hors attraction des villes","30","26","84","0","00",8932
"5820","000","67528","Commune hors attraction des villes","30","67","44","0","00",8932
"5821","000","55018","Commune hors attraction des villes","30","55","44","0","00",8932
"5822","000","65092","Commune hors attraction des villes","30","65","76","0","00",8932
"5823","000","17290","Commune hors attraction des villes","30","17","75","0","00",8932
"5824","000","26154","Commune hors attraction des villes","30","26","84","0","00",8932
"5825","000","52234","Commune hors attraction des villes","30","52","44","0","00",8932
